CiteKey,Lat,Lon,Class,FishFamily,FishSp,SppGrouped,HighlyMigratory,HabitatZone,Lifestage,HabitatType,HabitatSpecies,HabitatFunction,MicroHabitat,ObsType,DepthZone,AreaOfStudy,FisheryImpact,FishStock,FishStockReason,NotesFishery,,Notes
npfmc2016fishery,55,-152,actinopterygii,gadidae,theragra chalcogramma,,,benthopelagic,adult,soft-sediment;rock,,physiochem,water temp between 2 and 10 degrees celcius; found in waters upto 500m deep,catch-survey,<1000,>100ha,,,,,,4.5 to 16 years; increasingly demersal with age; no known substrate preference
npfmc2016fishery,53,-163,actinopterygii,gadidae,theragra chalcogramma,,,benthopelagic,adult,soft-sediment;rock,,physiochem,water temp between 2 and 10 degrees celcius; found in waters upto 500m deep,catch-survey,<1000,>100ha,,,,,,4.5 to 16 years; increasingly demersal with age; no known substrate preference
npfmc2016fishery,52,-180,actinopterygii,gadidae,theragra chalcogramma,,,benthopelagic,adult,soft-sediment;rock,,physiochem,water temp between 2 and 10 degrees celcius; found in waters upto 500m deep,catch-survey,<1000,>100ha,,,,,,4.5 to 16 years; increasingly demersal with age; no known substrate preference
npfmc2016fishery,60,-170,actinopterygii,gadidae,theragra chalcogramma,,,benthopelagic,adult,soft-sediment;rock,,physiochem,water temp between 2 and 10 degrees celcius; found in waters upto 500m deep,catch-survey,<1000,>100ha,,,,,,4.5 to 16 years; increasingly demersal with age; no known substrate preference
npfmc2016fishery,55.22,-156.4,actinopterygii,gadidae,gadus macrocephalus,,,benthic,eggs,soft-sediment;rock,,physiochem,water temp between 3 and 6 degrees celcius; salinity is 13 to 23 parts per thousand; oxygen concentration is from 2 to 3 ppm to saturation,catch-survey,<200,>100ha,,,,,,Little is known about the optimal substrate type for egg incubation. 
npfmc2016fishery,56.99,-155.43,actinopterygii,gadidae,gadus macrocephalus,,,benthic,eggs,soft-sediment;rock,,physiochem,water temp between 3 and 6 degrees celcius; salinity is 13 to 23 parts per thousand; oxygen concentration is from 2 to 3 ppm to saturation,catch-survey,<200,>100ha,,,,,,Little is known about the optimal substrate type for egg incubation. 
npfmc2016fishery,55.22,-156.4,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,larvae,,,physiochem,occuring in upper 45m of water column after hatching then moves downward as they grow,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,56.99,-155.43,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,larvae,,,physiochem,occuring in upper 45m of water column after hatching then moves downward as they grow,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,58.22,-150.73,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,larvae,,,physiochem,occuring in upper 45m of water column after hatching then moves downward as they grow,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,53.61,-162.99,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,larvae,,,physiochem,occuring in upper 45m of water column after hatching then moves downward as they grow,catch-survey,<200,>100ha,,,,,,
npfmc2016fishery,56.51,-165.61,actinopterygii,gadidae,gadus macrocephalus,,,epipelagic,larvae,,,physiochem,occuring in upper 45m of water column after hatching then moves downward as they grow,catch-survey,<200,>100ha,,,,,,
